Sample_Project	Sample_Name	Sample_UUID	Sample_in_S3	Output_in_S3
Treehouse	HS1795_4_lanes_dupsFlagged	00ece58e-cc01-5612-981b-16116162c9d5	y	y
Treehouse	HS1194_7_lanes_dupsFlagged	23548557-fd3d-5b07-877f-e9031748e294	y	y
Treehouse	HS1195_7_lanes_dupsFlagged	27e43902-16e0-5f31-9e3c-85e0634b8951	y	y
Treehouse	HS1799_4_lanes_dupsFlagged	4d567059-7be9-5771-a4a4-a0b872355dae	y	y
Treehouse	HS1197_7_lanes_dupsFlagged	626ff87e-25b9-5647-885b-54b3713dd670	y	y
Treehouse	HS1196_7_lanes_dupsFlagged	a944ae8a-42ec-51c9-84d3-85753c59e51a	y	y
Treehouse	HS1198_7_lanes_dupsFlagged	b35fdd7b-6cda-5d8b-8023-97723e6e5cd2	y	y
Treehouse	HS1797_4_lanes_dupsFlagged	bde3a318-594b-5d54-af84-d6befa1de11c	y	y
Treehouse	HS1801_4_lanes_dupsFlagged	ccb5f400-014c-5537-b713-5611c582e7f9	y	y
Treehouse	HS1803_4_lanes_dupsFlagged	f7febe57-4797-53d9-bb65-6b8f4087511e	y	y
